Tool,File_Path,Filename,Occurrences,Line_Numbers,First_Context_Excerpt
Nexpose,/tmp/tmp33tqw8t8/docs/040_HITRUST e1.docx,040_HITRUST e1.docx,1,12,"...ner results from Nessus, Nexpose, Qualys, and OpenVAS to ..."
Nexpose,/tmp/tmp33tqw8t8/docs/061_NBFC IT Governance.docx,061_NBFC IT Governance.docx,1,10,"... integrates with Nessus, Nexpose, Qualys, and OpenVAS sca..."
Nexpose,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,069_NIST SP 800-82.docx,1,13,"...Cloud integrates Nessus, Nexpose, Qualys, NMAP, and OpenV..."
Nexpose,/tmp/tmp33tqw8t8/docs/070_NIST SSDF.docx,070_NIST SSDF.docx,1,12,"... integrates with Nessus, Nexpose, Qualys, and OpenVAS sca..."
Nexpose,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,086_RBI IT Framework.docx,1,11,"...ide results from Nessus, Nexpose, Qualys, NMAP, and OpenV..."
Nexpose,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,089_SEBI-CSCRF.docx,1,7,"...Cloud integrates Nessus, Nexpose, Qualys, OpenVAS, Threat..."
Nexpose,/tmp/tmp33tqw8t8/docs/091_SEPS.docx,091_SEPS.docx,1,11,"... integrates with Nessus, Nexpose, Qualys, and NMAP scanne..."
Nexpose,/tmp/tmp33tqw8t8/docs/094_SWIFT CSCF.docx,094_SWIFT CSCF.docx,1,13,"...tegrates Nessus, Qualys, Nexpose, and OpenVAS results to ..."
Nexpose,/tmp/tmp33tqw8t8/docs/095_TPN.docx,095_TPN.docx,1,11,"...nPrem integrates Nessus, Nexpose, Qualys, NMAP."
Qualys,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,002_23 NYCRR 500.docx,1,12,"...ts from Nessus, Nexpose, Qualys, OpenVAS, and NMAP, moni..."
Qualys,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,008_Australian ISM.docx,1,11,"...em adds Nessus, Nexpose, Qualys, NMAP, OpenVAS."
Qualys,/tmp/tmp33tqw8t8/docs/011_BSI IT-GS.docx,011_BSI IT-GS.docx,1,13,"...ts from Nessus, Nexpose, Qualys, and OpenVAS, and monito..."
Qualys,/tmp/tmp33tqw8t8/docs/012_BSI KritisV.docx,012_BSI KritisV.docx,1,12,"...ts from Nessus, Nexpose, Qualys, and OpenVAS scanners an..."
Qualys,/tmp/tmp33tqw8t8/docs/019_CMMC v2.docx,019_CMMC v2.docx,1,12,"...Cloud integrates Nessus, Qualys, Nexpose, and OpenVAS sc..."
Qualys,/tmp/tmp33tqw8t8/docs/025_China DSL.docx,025_China DSL.docx,1,10,"...via Nessus, Nexpose, and Qualys vulnerability scans."
Qualys,/tmp/tmp33tqw8t8/docs/040_HITRUST e1.docx,040_HITRUST e1.docx,1,12,"...ts from Nessus, Nexpose, Qualys, and OpenVAS to track vu..."
Qualys,/tmp/tmp33tqw8t8/docs/061_NBFC IT Governance.docx,061_NBFC IT Governance.docx,1,10,"...es with Nessus, Nexpose, Qualys, and OpenVAS scanners wh..."
Qualys,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,069_NIST SP 800-82.docx,1,13,"...egrates Nessus, Nexpose, Qualys, NMAP, and OpenVAS vulne..."
Qualys,/tmp/tmp33tqw8t8/docs/070_NIST SSDF.docx,070_NIST SSDF.docx,1,12,"...es with Nessus, Nexpose, Qualys, and OpenVAS scanners wh..."
Qualys,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,086_RBI IT Framework.docx,1,11,"...ts from Nessus, Nexpose, Qualys, NMAP, and OpenVAS to su..."
Qualys,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,089_SEBI-CSCRF.docx,1,7,"...egrates Nessus, Nexpose, Qualys, OpenVAS, Threat Analyti..."
Qualys,/tmp/tmp33tqw8t8/docs/091_SEPS.docx,091_SEPS.docx,1,11,"...es with Nessus, Nexpose, Qualys, and NMAP scanners while..."
Qualys,/tmp/tmp33tqw8t8/docs/094_SWIFT CSCF.docx,094_SWIFT CSCF.docx,1,13,"...Cloud integrates Nessus, Qualys, Nexpose, and OpenVAS re..."
Qualys,/tmp/tmp33tqw8t8/docs/095_TPN.docx,095_TPN.docx,1,11,"...egrates Nessus, Nexpose, Qualys, NMAP."
NMAP,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,002_23 NYCRR 500.docx,1,12,"...se, Qualys, OpenVAS, and NMAP, monitors remediation pr..."
NMAP,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,008_Australian ISM.docx,1,11,"...Nessus, Nexpose, Qualys, NMAP, OpenVAS."
NMAP,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,069_NIST SP 800-82.docx,1,13,"...Nessus, Nexpose, Qualys, NMAP, and OpenVAS vulnerabili..."
NMAP,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,086_RBI IT Framework.docx,1,11,"...Nessus, Nexpose, Qualys, NMAP, and OpenVAS to support ..."
NMAP,/tmp/tmp33tqw8t8/docs/091_SEPS.docx,091_SEPS.docx,1,11,"...us, Nexpose, Qualys, and NMAP scanners while monitorin..."
NMAP,/tmp/tmp33tqw8t8/docs/095_TPN.docx,095_TPN.docx,1,11,"...Nessus, Nexpose, Qualys, NMAP."
OpenVAS,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,002_23 NYCRR 500.docx,1,12,"...Nessus, Nexpose, Qualys, OpenVAS, and NMAP, monitors reme..."
OpenVAS,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,008_Australian ISM.docx,1,11,"..., Nexpose, Qualys, NMAP, OpenVAS."
OpenVAS,/tmp/tmp33tqw8t8/docs/011_BSI IT-GS.docx,011_BSI IT-GS.docx,1,13,"...us, Nexpose, Qualys, and OpenVAS, and monitors software u..."
OpenVAS,/tmp/tmp33tqw8t8/docs/012_BSI KritisV.docx,012_BSI KritisV.docx,1,12,"...us, Nexpose, Qualys, and OpenVAS scanners and monitors so..."
OpenVAS,/tmp/tmp33tqw8t8/docs/019_CMMC v2.docx,019_CMMC v2.docx,1,12,"...us, Qualys, Nexpose, and OpenVAS scan results with threat..."
OpenVAS,/tmp/tmp33tqw8t8/docs/040_HITRUST e1.docx,040_HITRUST e1.docx,1,12,"...us, Nexpose, Qualys, and OpenVAS to track vulnerability r..."
OpenVAS,/tmp/tmp33tqw8t8/docs/061_NBFC IT Governance.docx,061_NBFC IT Governance.docx,1,10,"...us, Nexpose, Qualys, and OpenVAS scanners while monitorin..."
OpenVAS,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,069_NIST SP 800-82.docx,1,13,"...xpose, Qualys, NMAP, and OpenVAS vulnerability scan repor..."
OpenVAS,/tmp/tmp33tqw8t8/docs/070_NIST SSDF.docx,070_NIST SSDF.docx,1,12,"...us, Nexpose, Qualys, and OpenVAS scanners while monitorin..."
OpenVAS,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,086_RBI IT Framework.docx,1,11,"...xpose, Qualys, NMAP, and OpenVAS to support vulnerability..."
OpenVAS,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,089_SEBI-CSCRF.docx,1,7,"...Nessus, Nexpose, Qualys, OpenVAS, Threat Analytics, and T..."
OpenVAS,/tmp/tmp33tqw8t8/docs/094_SWIFT CSCF.docx,094_SWIFT CSCF.docx,1,13,"...us, Qualys, Nexpose, and OpenVAS results to provide vulne..."
Malwarebytes,,,0,,NOT FOUND
vCenter,,,0,,NOT FOUND
PAM360,/tmp/tmp33tqw8t8/docs/007_AU SOCI.docx,007_AU SOCI.docx,1,10,"...vents, AD MFA logon, and PAM360 access control and passw..."
PAM360,/tmp/tmp33tqw8t8/docs/041_HKMA C-RAF.docx,041_HKMA C-RAF.docx,1,7,"... Entra ID MFA logon, and PAM360 password policy complian..."
PAM360,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,089_SEBI-CSCRF.docx,2,"7, 13","...ommands, MFA events, and PAM360 access activities. The e..."
PAM360,/tmp/tmp33tqw8t8/docs/092_SG CSA CCoP.docx,092_SG CSA CCoP.docx,1,7,"... Entra ID MFA logon, and PAM360 password policy complian..."
PAM360,/tmp/tmp33tqw8t8/docs/096_TSA Cyber Directives.docx,096_TSA Cyber Directives.docx,1,10,"...vents, AD MFA logon, and PAM360 access control and passw..."
