Tool,Filename,File_Path,Total_Occurrences,All_Line_Numbers,All_Context_Excerpts
Nessus,089_SEBI-CSCRF.docx,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,1,7,"1. ... Log360 Cloud integrates Nessus, Nexpose, Qualys, OpenVA..."
Nessus,091_SEPS.docx,/tmp/tmp33tqw8t8/docs/091_SEPS.docx,1,11,"1. ...60 Cloud integrates with Nessus, Nexpose, Qualys, and NM..."
Nessus,094_SWIFT CSCF.docx,/tmp/tmp33tqw8t8/docs/094_SWIFT CSCF.docx,1,13,"1. ... Log360 Cloud integrates Nessus, Qualys, Nexpose, and Op..."
Nessus,095_TPN.docx,/tmp/tmp33tqw8t8/docs/095_TPN.docx,1,11,"1. ... while OnPrem integrates Nessus, Nexpose, Qualys, NMAP."
Nexpose,002_23 NYCRR 500.docx,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,1,12,"1. ...can results from Nessus, Nexpose, Qualys, OpenVAS, and NM..."
Nexpose,008_Australian ISM.docx,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,1,11,"1. ...hile OnPrem adds Nessus, Nexpose, Qualys, NMAP, OpenVAS."
Nexpose,011_BSI IT-GS.docx,/tmp/tmp33tqw8t8/docs/011_BSI IT-GS.docx,1,13,"1. ...ner outputs from Nessus, Nexpose, Qualys, and OpenVAS, an..."
Nexpose,012_BSI KritisV.docx,/tmp/tmp33tqw8t8/docs/012_BSI KritisV.docx,1,12,"1. ...tes outputs from Nessus, Nexpose, Qualys, and OpenVAS sca..."
Nexpose,019_CMMC v2.docx,/tmp/tmp33tqw8t8/docs/019_CMMC v2.docx,1,12,"1. ...tegrates Nessus, Qualys, Nexpose, and OpenVAS scan result..."
Nexpose,025_China DSL.docx,/tmp/tmp33tqw8t8/docs/025_China DSL.docx,1,10,"1. ...ing coverage via Nessus, Nexpose, and Qualys vulnerabilit..."
Nexpose,040_HITRUST e1.docx,/tmp/tmp33tqw8t8/docs/040_HITRUST e1.docx,1,12,"1. ...ner results from Nessus, Nexpose, Qualys, and OpenVAS to ..."
Nexpose,061_NBFC IT Governance.docx,/tmp/tmp33tqw8t8/docs/061_NBFC IT Governance.docx,1,10,"1. ... integrates with Nessus, Nexpose, Qualys, and OpenVAS sca..."
Nexpose,069_NIST SP 800-82.docx,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,1,13,"1. ...Cloud integrates Nessus, Nexpose, Qualys, NMAP, and OpenV..."
Nexpose,070_NIST SSDF.docx,/tmp/tmp33tqw8t8/docs/070_NIST SSDF.docx,1,12,"1. ... integrates with Nessus, Nexpose, Qualys, and OpenVAS sca..."
Nexpose,086_RBI IT Framework.docx,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,1,11,"1. ...ide results from Nessus, Nexpose, Qualys, NMAP, and OpenV..."
Nexpose,089_SEBI-CSCRF.docx,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,1,7,"1. ...Cloud integrates Nessus, Nexpose, Qualys, OpenVAS, Threat..."
Nexpose,091_SEPS.docx,/tmp/tmp33tqw8t8/docs/091_SEPS.docx,1,11,"1. ... integrates with Nessus, Nexpose, Qualys, and NMAP scanne..."
Nexpose,094_SWIFT CSCF.docx,/tmp/tmp33tqw8t8/docs/094_SWIFT CSCF.docx,1,13,"1. ...tegrates Nessus, Qualys, Nexpose, and OpenVAS results to ..."
Nexpose,095_TPN.docx,/tmp/tmp33tqw8t8/docs/095_TPN.docx,1,11,"1. ...nPrem integrates Nessus, Nexpose, Qualys, NMAP."
Qualys,002_23 NYCRR 500.docx,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,1,12,"1. ...ts from Nessus, Nexpose, Qualys, OpenVAS, and NMAP, moni..."
Qualys,008_Australian ISM.docx,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,1,11,"1. ...em adds Nessus, Nexpose, Qualys, NMAP, OpenVAS."
Qualys,011_BSI IT-GS.docx,/tmp/tmp33tqw8t8/docs/011_BSI IT-GS.docx,1,13,"1. ...ts from Nessus, Nexpose, Qualys, and OpenVAS, and monito..."
Qualys,012_BSI KritisV.docx,/tmp/tmp33tqw8t8/docs/012_BSI KritisV.docx,1,12,"1. ...ts from Nessus, Nexpose, Qualys, and OpenVAS scanners an..."
Qualys,019_CMMC v2.docx,/tmp/tmp33tqw8t8/docs/019_CMMC v2.docx,1,12,"1. ...Cloud integrates Nessus, Qualys, Nexpose, and OpenVAS sc..."
Qualys,025_China DSL.docx,/tmp/tmp33tqw8t8/docs/025_China DSL.docx,1,10,"1. ...via Nessus, Nexpose, and Qualys vulnerability scans."
Qualys,040_HITRUST e1.docx,/tmp/tmp33tqw8t8/docs/040_HITRUST e1.docx,1,12,"1. ...ts from Nessus, Nexpose, Qualys, and OpenVAS to track vu..."
Qualys,061_NBFC IT Governance.docx,/tmp/tmp33tqw8t8/docs/061_NBFC IT Governance.docx,1,10,"1. ...es with Nessus, Nexpose, Qualys, and OpenVAS scanners wh..."
Qualys,069_NIST SP 800-82.docx,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,1,13,"1. ...egrates Nessus, Nexpose, Qualys, NMAP, and OpenVAS vulne..."
Qualys,070_NIST SSDF.docx,/tmp/tmp33tqw8t8/docs/070_NIST SSDF.docx,1,12,"1. ...es with Nessus, Nexpose, Qualys, and OpenVAS scanners wh..."
Qualys,086_RBI IT Framework.docx,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,1,11,"1. ...ts from Nessus, Nexpose, Qualys, NMAP, and OpenVAS to su..."
Qualys,089_SEBI-CSCRF.docx,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,1,7,"1. ...egrates Nessus, Nexpose, Qualys, OpenVAS, Threat Analyti..."
Qualys,091_SEPS.docx,/tmp/tmp33tqw8t8/docs/091_SEPS.docx,1,11,"1. ...es with Nessus, Nexpose, Qualys, and NMAP scanners while..."
Qualys,094_SWIFT CSCF.docx,/tmp/tmp33tqw8t8/docs/094_SWIFT CSCF.docx,1,13,"1. ...Cloud integrates Nessus, Qualys, Nexpose, and OpenVAS re..."
Qualys,095_TPN.docx,/tmp/tmp33tqw8t8/docs/095_TPN.docx,1,11,"1. ...egrates Nessus, Nexpose, Qualys, NMAP."
NMAP,002_23 NYCRR 500.docx,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,1,12,"1. ...se, Qualys, OpenVAS, and NMAP, monitors remediation pr..."
NMAP,008_Australian ISM.docx,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,1,11,"1. ...Nessus, Nexpose, Qualys, NMAP, OpenVAS."
NMAP,069_NIST SP 800-82.docx,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,1,13,"1. ...Nessus, Nexpose, Qualys, NMAP, and OpenVAS vulnerabili..."
NMAP,086_RBI IT Framework.docx,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,1,11,"1. ...Nessus, Nexpose, Qualys, NMAP, and OpenVAS to support ..."
NMAP,091_SEPS.docx,/tmp/tmp33tqw8t8/docs/091_SEPS.docx,1,11,"1. ...us, Nexpose, Qualys, and NMAP scanners while monitorin..."
NMAP,095_TPN.docx,/tmp/tmp33tqw8t8/docs/095_TPN.docx,1,11,"1. ...Nessus, Nexpose, Qualys, NMAP."
OpenVAS,002_23 NYCRR 500.docx,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,1,12,"1. ...Nessus, Nexpose, Qualys, OpenVAS, and NMAP, monitors reme..."
OpenVAS,008_Australian ISM.docx,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,1,11,"1. ..., Nexpose, Qualys, NMAP, OpenVAS."
OpenVAS,011_BSI IT-GS.docx,/tmp/tmp33tqw8t8/docs/011_BSI IT-GS.docx,1,13,"1. ...us, Nexpose, Qualys, and OpenVAS, and monitors software u..."
OpenVAS,012_BSI KritisV.docx,/tmp/tmp33tqw8t8/docs/012_BSI KritisV.docx,1,12,"1. ...us, Nexpose, Qualys, and OpenVAS scanners and monitors so..."
OpenVAS,019_CMMC v2.docx,/tmp/tmp33tqw8t8/docs/019_CMMC v2.docx,1,12,"1. ...us, Qualys, Nexpose, and OpenVAS scan results with threat..."
OpenVAS,040_HITRUST e1.docx,/tmp/tmp33tqw8t8/docs/040_HITRUST e1.docx,1,12,"1. ...us, Nexpose, Qualys, and OpenVAS to track vulnerability r..."
OpenVAS,061_NBFC IT Governance.docx,/tmp/tmp33tqw8t8/docs/061_NBFC IT Governance.docx,1,10,"1. ...us, Nexpose, Qualys, and OpenVAS scanners while monitorin..."
OpenVAS,069_NIST SP 800-82.docx,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,1,13,"1. ...xpose, Qualys, NMAP, and OpenVAS vulnerability scan repor..."
OpenVAS,070_NIST SSDF.docx,/tmp/tmp33tqw8t8/docs/070_NIST SSDF.docx,1,12,"1. ...us, Nexpose, Qualys, and OpenVAS scanners while monitorin..."
OpenVAS,086_RBI IT Framework.docx,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,1,11,"1. ...xpose, Qualys, NMAP, and OpenVAS to support vulnerability..."
OpenVAS,089_SEBI-CSCRF.docx,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,1,7,"1. ...Nessus, Nexpose, Qualys, OpenVAS, Threat Analytics, and T..."
OpenVAS,094_SWIFT CSCF.docx,/tmp/tmp33tqw8t8/docs/094_SWIFT CSCF.docx,1,13,"1. ...us, Qualys, Nexpose, and OpenVAS results to provide vulne..."
Malwarebytes,,,0,,NOT FOUND
vCenter,,,0,,NOT FOUND
PAM360,007_AU SOCI.docx,/tmp/tmp33tqw8t8/docs/007_AU SOCI.docx,1,10,"1. ...vents, AD MFA logon, and PAM360 access control and passw..."
PAM360,041_HKMA C-RAF.docx,/tmp/tmp33tqw8t8/docs/041_HKMA C-RAF.docx,1,7,"1. ... Entra ID MFA logon, and PAM360 password policy complian..."
PAM360,089_SEBI-CSCRF.docx,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,2,"7, 13","1. ...ommands, MFA events, and PAM360 access activities. The e..."
PAM360,092_SG CSA CCoP.docx,/tmp/tmp33tqw8t8/docs/092_SG CSA CCoP.docx,1,7,"1. ... Entra ID MFA logon, and PAM360 password policy complian..."
PAM360,096_TSA Cyber Directives.docx,/tmp/tmp33tqw8t8/docs/096_TSA Cyber Directives.docx,1,10,"1. ...vents, AD MFA logon, and PAM360 access control and passw..."
